,0,10,15,25,50,75
0,0.8133,0.4667,0.2067,0.0467,0.0,0.0
25,0.7667,0.44,0.2667,0.0467,0.0,0.0
50,0.8,0.4533,0.2733,0.0467,0.0,0.0
75,0.8333,0.4333,0.2133,0.06,0.0,0.0
90,0.6133,0.2133,0.0733,0.0267,0.0,0.0
