,0,10,15,25,50,75
0,0.84,0.4267,0.1933,0.0467,0.0,0.0
25,0.86,0.44,0.2267,0.0467,0.0,0.0
50,0.7733,0.4133,0.26,0.02,0.0,0.0
75,0.8533,0.4867,0.2467,0.04,0.0,0.0
90,0.6067,0.1533,0.1267,0.02,0.0,0.0
