,1,51,101,151,201,251,301,351,401,451,501,551,601,651,701,751,801,851,901,951,1001,1051,1101,1151,1201,1251,1301,1351,1401,1451
repeat_1,1.0,0.95,1.0,0.95,0.95,1.0,0.95,0.95,0.9,0.95,0.85,1.0,0.75,1.0,0.8,0.9,0.9,0.95,0.75,0.85,0.95,0.9,0.95,0.95,1.0,0.9,0.85,0.85,0.55,0.85
repeat_2,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.9,0.85,0.85,0.9,0.95,0.8,0.95,0.95,0.8,0.9,0.95,0.95,0.85,0.9,0.8,0.9,0.75,0.9,0.9,1.0,0.85,0.75
repeat_3,1.0,1.0,1.0,0.95,1.0,0.95,0.95,0.95,1.0,0.95,1.0,0.85,0.9,0.8,0.75,0.95,0.85,0.9,0.95,0.75,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.95,0.75
