,1,51,101,151,201,251,301,351,401,451,501,551,601,651,701,751,801,851,901,951,1001,1051,1101,1151,1201,1251,1301,1351,1401,1451
repeat_1,1.0,0.15,0.05,0.3,0.05,0.15,0.05,0.05,0.1,0.15,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05
repeat_2,1.0,0.35,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.1,0.0,0.05,0.0,0.0,0.15,0.0,0.2,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.05
repeat_3,1.0,0.35,0.15,0.15,0.0,0.05,0.15,0.0,0.05,0.15,0.15,0.05,0.1,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.15,0.15,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05
