,1,51,101,151,201,251,301,351,401,451,501,551,601,651,701,751,801,851,901,951,1001,1051,1101,1151,1201,1251,1301,1351,1401,1451
repeat_1,1.0,0.8,0.85,0.85,0.75,0.8,0.65,0.85,0.75,0.8,0.7,0.45,0.6,0.6,0.75,0.75,0.35,0.55,0.7,0.7,0.65,0.5,0.4,0.55,0.5,0.5,0.65,0.55,0.65,0.55
repeat_2,1.0,1.0,0.9,0.75,0.9,0.75,0.75,0.8,0.85,0.6,0.65,0.65,0.5,0.7,0.4,0.7,0.45,0.65,0.6,0.6,0.6,0.65,0.65,0.45,0.5,0.35,0.55,0.55,0.45,0.5
repeat_3,1.0,1.0,1.0,0.9,0.8,0.65,0.7,0.8,0.8,0.6,0.75,0.6,0.65,0.5,0.5,0.6,0.55,0.7,0.6,0.45,0.5,0.7,0.55,0.65,0.5,0.35,0.55,0.6,0.6,0.5
